NUM,ID,Name,Cite,Lon,Lat,Type1,Type2,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
36,11,湖南新化紫鹊界梯田,湖南省娄底市新化县水车镇,110.992,27.679,稻作农业系统,Rice farming system,RFS,10.655738,9.863014,6.849315,8.767123,6.830601,9.315068,9.315068,14.794521,9.562841,8.767123,8.767123,7.1232877,14.480874,9.315068,11.780823,10.410959,11.748633,7.945205,15.068494,13.150684,7.6502733,8.493151,14.520548,18.356163,12.84153,14.520548,15.342465,16.438356,15.027322,16.712328,16.164383,18.90411,4.3715844,19.452055,10.684931,8.493151,14.480874,10.958904,13.150684,17.260275,10.382514,19.726028,24.109589,22.19178,19.398907,77.80822
37,12,云南红河哈尼稻作梯田系统,云南红河州哀牢山区,103.373,23.366,稻作农业系统,Rice farming system,RFS,14.480874,9.589041,5.7534246,13.69863,11.748633,5.479452,9.041096,13.69863,13.387978,7.945205,15.89041,15.89041,10.655738,10.136987,13.150684,10.136987,11.202186,13.424657,23.835615,14.246575,12.295082,12.876712,13.972603,13.424657,12.84153,26.027397,19.452055,15.89041,12.295082,28.767124,37.260273,16.986301,21.03825,22.19178,27.39726,28.49315,19.945354,16.164383,18.082191,34.246574,23.770493,18.630136,17.80822,29.31507,22.404371,88.49315
38,13,云南普洱古茶园与茶文化系统,云南普洱市惠民乡景迈村,99.996,22.218,茶文化系统,Tea culture system,TCS,17.759563,4.931507,4.109589,9.315068,13.661202,6.3013697,14.794521,14.246575,16.93989,16.438356,15.616438,12.328767,9.016393,11.506849,9.315068,21.09589,12.84153,13.972603,32.328766,11.780823,12.295082,20.273973,10.958904,11.780823,13.387978,24.657534,15.616438,20.547945,14.754099,34.52055,35.34247,11.780823,25.68306,22.739727,25.753424,20.273973,24.590164,17.80822,14.794521,38.90411,32.51366,16.164383,24.383562,24.657534,20.765028,90.68493
39,14,贵州从江侗乡稻鱼鸭系统,贵州从江县加榜乡加车村,108.573,25.59,复合农业生产系统,Comprehensive agricultural production system,CAPS,10.10929,11.506849,6.849315,9.589041,5.7377048,9.041096,6.849315,14.794521,13.934426,13.424657,13.424657,10.684931,19.67213,9.863014,11.232877,9.041096,15.57377,10.684931,18.630136,13.69863,13.661202,9.863014,13.69863,15.342465,12.84153,15.616438,14.520548,16.712328,12.568305,22.465754,15.89041,18.90411,8.196721,16.164383,14.520548,12.876712,19.125683,12.328767,15.068494,22.19178,12.84153,21.917809,16.712328,30.958902,19.67213,76.438354
40,15,陕西佳县古枣园,陕西省榆林市佳县朱家坬镇泥河沟村,110.494,38.187,林业和林果系统,Forestry and forestry products system,FFPS,9.016393,9.041096,9.863014,6.575342,5.191257,8.219178,8.219178,23.287672,8.743169,9.041096,11.232877,16.986301,7.6502733,8.493151,15.068494,10.958904,9.562841,24.109589,29.31507,29.863014,18.032785,20.0,28.21918,10.410959,20.765028,24.109589,30.410961,23.835615,22.677595,24.931507,23.013699,12.328767,10.10929,21.917809,20.821918,21.643835,21.311476,22.465754,21.643835,26.575342,21.5847,30.136988,23.561646,27.671232,28.415302,78.630135
41,16,甘肃皋兰什川古梨园,甘肃省兰州市皋兰县什川镇,104.005,36.152,林业和林果系统,Forestry and forestry products system,FFPS,14.207651,10.684931,13.150684,6.575342,6.2841525,7.945205,8.493151,22.465754,12.84153,9.589041,18.082191,20.547945,9.016393,12.054794,13.150684,8.493151,12.568305,17.80822,23.561646,16.986301,18.032785,15.616438,21.917809,15.616438,19.945354,15.342465,29.31507,17.534246,19.67213,20.547945,23.287672,18.630136,8.743169,24.931507,19.178082,24.383562,27.868853,20.547945,17.534246,14.794521,12.295082,28.21918,28.49315,32.602737,26.229507,79.45206
42,17,甘肃迭部扎尕那农林牧复合系统,甘肃省甘南藏族自治州迭部县益哇镇扎尕那行政村,103.19,34.239,复合农业生产系统,Comprehensive agricultural production system,CAPS,15.57377,15.616438,4.3835616,4.657534,5.7377048,7.945205,8.493151,20.273973,8.196721,4.109589,19.452055,13.972603,10.655738,17.260275,15.068494,8.767123,11.202186,14.794521,16.438356,15.068494,13.934426,12.054794,19.726028,15.89041,14.754099,15.89041,29.31507,18.356163,20.21858,30.136988,34.52055,18.630136,6.2841525,22.465754,8.767123,22.19178,24.31694,22.465754,23.561646,15.616438,23.224045,29.589043,40.82192,37.80822,37.97814,58.90411
43,18,新疆吐鲁番坎儿井农业系统,新疆维吾尔自治区吐鲁番市高昌区新城西门村,89.143,42.944,水利灌溉系统,Water irrigation system,WIS,12.021858,8.493151,10.684931,6.027397,1.0928961,7.3972607,8.219178,11.780823,8.469945,10.958904,10.410959,13.972603,4.9180326,9.041096,16.712328,10.410959,9.289618,17.80822,19.726028,15.616438,9.289618,17.260275,23.835615,11.232877,16.12022,15.616438,26.849314,25.205479,27.868853,22.19178,20.547945,20.273973,10.655738,25.753424,18.082191,17.534246,23.770493,20.273973,15.342465,19.178082,13.934426,19.452055,24.931507,33.424656,32.24044,75.61644
44,19,天津滨海崔庄古冬枣园,天津市滨海新区大港太平镇崔庄村,117.233,38.629,林业和林果系统,Forestry and forestry products system,FFPS,6.2841525,12.328767,13.424657,16.438356,7.1038256,3.8356164,8.493151,15.342465,8.743169,11.506849,7.6712327,7.3972607,11.748633,12.054794,16.986301,10.410959,7.923497,21.917809,20.821918,25.205479,17.759563,19.726028,24.383562,12.876712,18.032785,19.452055,26.301369,22.465754,25.13661,20.821918,18.082191,12.876712,11.748633,15.068494,24.109589,22.19178,19.125683,24.931507,18.356163,29.863014,21.5847,17.80822,21.09589,32.876713,24.863388,70.68494
45,20,河北宽城传统板栗栽培系统,河北省承德市宽城满族自治县铧尖镇,118.547,40.342,林业和林果系统,Forestry and forestry products system,FFPS,6.2841525,13.424657,13.150684,16.438356,7.3770494,4.657534,9.863014,12.876712,10.928962,12.602739,10.410959,7.1232877,11.4754095,11.232877,18.356163,9.589041,7.923497,19.452055,21.09589,19.452055,17.759563,15.342465,23.561646,13.150684,19.125683,14.794521,23.561646,26.849314,21.03825,19.452055,11.780823,10.136987,8.196721,14.520548,19.726028,20.273973,17.759563,23.013699,18.90411,31.232876,22.677595,14.794521,21.643835,27.671232,24.863388,72.60274
